CRN,Subject CodeCourse Number,Monday Ind1Tuesday Ind1Wednesday Ind1Thursday Ind1Friday Ind1,Begin Time 1,End Time1,Term Code,Bldg Code1,Room Code1,Section Max Enrollment
10666,CHEM355,T,1330,1720,201710,OSC,175,12
10675,CHEM453,MWF,1000,1050,201710,OSC,117,45
10925,COMP235,MWF,1000,1050,201710,SHB,210,20
10927,COMP352,TR,0800,0920,201710,DMC,117,30
10932,COMP602,T,0900,1150,201710,SHB,210,24
10852,CS130,MWF,1000,1050,201710,MBB,314,29
11293,DET400,,0000,0001,201710,,,0
10622,DSGN401,MW,1500,1750,201710,DMC,207,15
10722,EDUC412,TR,1330,1450,201710,EDB,110,16
10485,ENGL006,MWF,0800,0850,201710,ADM,310,18
10486,ENGL106,MWF,0900,0950,201710,ADM,327,18
11371,ENGL332,TR,1330,1450,201710,LIB,272,25
11147,ENGR115,MW,0900,0950,201710,BEN,119,40
11154,ENGR131,TR,1715,1835,201710,BEN,210,23
11120,ENVR455,MWF,0800,0850,201710,ADM,120,20
10453,FIN310,MWF,1000,1050,201710,MBB,115,56
10455,FIN419,MW,1500,1620,201710,MBB,118,56
10229,GEOG354,TR,0930,1050,201710,ADM,310,30
10678,GEOL111,MWF,1000,1050,201710,OSC,175,40
10745,GLST499,M,1800,2050,201710,ADM,310,18
11143,HIST409,MWF,1400,1450,201710,ADM,321,18
10244,HIST496,MW,1300,1420,201710,ADM,329,18
10991,HON416,,0800,1700,201710,MBB,316,15
10887,IS322,MWF,0900,0950,201710,MBB,315,40
11364,IS322,MW,1400,1520,201710,MBB,216,40
11325,IS324,TR,0800,0920,201710,MBB,201,48
10263,JMC321,T,1700,1750,201710,DMC,110,20
10764,KINE241,MWF,0900,0950,201710,MRW,146A,16
10778,KINE372,MWF,0900,0950,201710,GIB,130,24
10823,PEAC341,TR,1500,1750,201710,MRW,146A,16
10332,MATH130,MWF,1200,1250,201710,MBB,217,50
11298,MATH418,M,1500,1650,201710,OSC,250,10
10856,MGMT345,MWF,1300,1350,201710,MBB,315,40
10865,MGMT499,T,0700,0750,201710,MBB,103,0
10056,MPIN211,,0000,0001,201710,WPA,219,5
10022,MUST432,TR,0930,1020,201710,WPA,B7,15
10788,NUTR221,M,1800,2050,201710,MRW,260B,30
10796,PEAC100,TR,1330,1450,201710,MRW,260A,45
10799,PEAC100,MWF,1200,1250,201710,MRW,260A,25
10804,PEAC206,,0000,0001,201710,,,100
11207,PHYS461,TR,0800,0920,201710,BEN,210,30
11009,POLS225,TR,1330,1450,201710,ADM,219,45
10964,PSYC485,R,1530,1720,201710,MCK,27,15
10965,PSYC485,W,0900,1050,201710,MCK,27,15
10969,PSYC610,T,0900,1150,201710,MCK,27,12
11125,PSYC683,R,0900,1150,201710,MCK,27,10
10976,PSYC685,M,0900,1150,201710,MCK,135,10
10977,PSYC690,R,1300,1550,201710,MCK,135,6
10739,READ480,MTWR,1500,1700,201710,EDB,122,10
11012,SOCW327,MWF,0900,0950,201710,ADM,101,40
11013,SOCW351,MWF,0800,0850,201710,ADM,101,35
11058,SOCW651,T,0900,1150,201710,ADM,102,25
10570,SPAN111,MWF,1000,1050,201710,ADM,128,20
10381,SPAN222,,0000,0001,201710,SAMONT,,0
10578,SPAN301,TR,0930,1050,201710,ADM,316,20
10193,THEA137,MWF,1400,1450,201710,SWL,120,22
10217,THEA325,TR,0930,1050,201710,WPA,169,14
11379,UNIV111,TR,1500,1620,201710,ADM,302,25
11185,PHYS221,R,0800,1050,201710,LIB,231,20
11179,PHYS223,T,1330,1620,201710,LIB,231,20
11265,PHYS240,T,1800,2100,201710,OSC,327,23
10890,PSYC232,MWF,0900,0950,201710,BSB,100,250
10935,COMP610,R,1300,1550,201710,DMC,117,24
10939,COMP640,R,1730,2020,201710,DMC,117,24
11450,NURS351,F,0800,1050,201710,,,55
11526,NURS380,W,1300,1550,201710,,,25
11458,NURS453,M,0900,1050,201710,,,55
11203,ENGR332,TR,1500,1620,201710,BEN,219,40
11197,ENGR434,MWF,0800,0850,201710,OSC,175,40
11116,ENVR341,MW,1300,1350,201710,ADM,127,18
10867,MGMT335,TR,0800,0920,201710,MBB,115,30
10680,COMM211,MWF,0900,0950,201710,SHB,208,20
11390,COMM211,MWF,1200,1250,201710,SHB,215,20
11350,BIOL399,,,,201710,OSC,375,0
10897,MGMT439,TR,0800,0920,201710,MBB,216,40
10414,BMIS245,MW,1500,1620,201710,BSB,103,30
10634,OCCT607,T,0900,1030,201710,LIB,235,26
10972,PSYC642,W,0900,1150,201710,MCK,42,12
10974,PSYC648,R,0900,1150,201710,MCK,135,16
11430,ENGL003,MWF,1000,1050,201710,ADM,219,18
10649,CHEM133,TR,0930,1050,201710,OSC,117,45
10498,ENGL111,MWF,1300,1350,201710,ADM,318,25
10502,ENGL111,MWF,1000,1050,201710,ADM,100,25
10508,ENGL111,TR,0930,1050,201710,MBB,116,25
10028,MPEI314,T,1545,1700,201710,WPA,157,40
11030,BIOL114,M,1400,1550,201710,OSC,427,24
11032,BIOL114,M,1600,1750,201710,OSC,427,24
10983,HON412,,0900,1700,201710,SHB,215,15
10985,HON413,M,1800,2050,201710,OSC,485,15
11449,GRAD695,,0000,0001,201710,,,5
11536,GRAD695,,0000,0001,201710,,,5
11537,GRAD695,,0000,0001,201710,,,5
11543,GRAD695,,0000,0001,201710,,,5
11423,MATW019,TR,1330,1450,201710,OSC,250,23
10230,HIST117,TR,1330,1450,201710,ADM,321,30
11308,MATW120,MW,1630,1720,201710,OSC,241,32
11408,MFTO643,MTWRF,,,201710,,,20
11411,MFTO645,MTWRF,,,201710,,,20
10967,PSYC608,T,0900,1150,201710,MCK,135,10
10612,ART443,MWF,1300,1450,201710,DMC,322,7
10084,MPIM221,F,1400,1450,201710,WPA,223,5
10311,BIBL610,,0000,0001,201710,,,19
10312,BIBL620,,0000,0001,201710,,,16
10313,BIBL621,F,0800,1700,201710,BSB,250,15
10536,ENGL262,MWF,1300,1350,201710,ADM,316,25
10538,ENGL262,MWF,1400,1450,201710,ADM,316,25
10542,ENGL263,MWF,0900,0950,201710,ADM,219,25
10543,ENGL301,TR,0800,0920,201710,ADM,310,25
10620,DSGN301,TR,1330,1620,201710,DMC,207,20
11097,AENV130,TR,0800,0920,201710,ADM,128,32
11098,AENV130,TR,0930,1050,201710,ADM,128,32
11080,BIOL354,TR,1500,1620,201710,OSC,475,16
11354,BIOL354,MW,1430,1550,201710,OSC,475,16
11208,ART112,TR,1330,1620,201710,DMC,227,14
11090,BIOL493,W,1200,1450,201710,OSC,455,16
10386,BGRK221,MTWR,1500,1550,201710,BSB,127,15
10295,BGRK611,W,1330,1620,201710,BSB,113,20
10905,MKTG320,TR,1200,1320,201710,MBB,201,75
10731,READ363,T,1800,2050,201710,EDB,112,25
11437,POLC365,TR,1330,1450,201710,MBB,315,30
10155,MPVM421,W,1500,1550,201710,WPA,224,5
10159,MPVM421,W,1500,1550,201710,WPA,133,5
10552,ENGL376,MWF,1300,1350,201710,ADM,310,25
10558,ENGL499,TR,1630,1750,201710,ADM,318,25
11054,ART353,TR,1330,1620,201710,DMC,224,20
10403,BIBM330,TR,1330,1450,201710,BSB,112,40
11508,HIED621,MTWRF,,,201710,,,20
10344,MATH185,MWF,0800,0850,201710,MBB,217,40
10811,PEAC214,TR,1200,1320,201710,MRW,240,40
10815,PEAC217,TR,0800,0920,201710,EAG,,24
10817,PEAC224,TR,1500,1620,201710,GIB,132,20
11282,LEAD711,MTWRF,,,201710,,,20
11479,LEAD744,MTWRF,,,201710,,,20
11482,LEAD744,MTWRF,,,201710,,,20
11499,LEAD784,MTWRF,,,201710,,,15
10699,COMM430,MWF,1400,1450,201710,SHB,217,32
10703,COMM620,M,1500,1750,201710,SHB,217,20
11225,CORE110,MWF,1000,1050,201710,EDB,110,30
11231,CORE110,MWF,1300,1350,201710,LIB,272,30
11235,CORE110,MWF,1300,1350,201710,ADM,103,30
11247,CORE110,MWF,1000,1050,201710,BSB,104,25
11347,CORE110,MWF,1300,1350,201710,MRW,260B,30
11109,ANSC360,MWF,0900,0950,201710,ADM,120,24
11110,ANSC360,M,1330,1520,201710,RHD,,6
10298,BGRK623,M,1200,1450,201710,BSB,122,15
10436,BIBL101,MWF,0800,0850,201710,BSB,112,40
10419,BIBL102,MWF,0900,0950,201710,BSB,130,25
10417,BIBL103,MWF,1000,1050,201710,BSB,120,35
10409,BIBM492,TR,1500,1620,201710,BSB,112,40
11382,BIBM726,M,0800,1700,201710,BSB,249,15
11439,BIBM799,,0000,0001,201710,,,5
10467,BUSA120,MWF,1300,1350,201710,MBB,201,65
10924,COMP225,MWF,0900,0950,201710,SHB,210,17
10928,COMP356,MWF,1000,1050,201710,DMC,117,30
11464,CONR612,MTWRF,,,201710,,,20
11394,ECON260,MWF,1200,1250,201710,MBB,115,50
10491,ENGL006,MWF,1200,1250,201710,ADM,330,18
10484,ENGL106,MWF,0800,0850,201710,ADM,310,18
10522,ENGL112,MWF,1200,1250,201710,ADM,316,25
